date,APR Las Canteras >> Caseta 7 >> Estado Bomba Elevadora 2(22804),APR Las Canteras >> Caseta 7 >> Estado Bomba Elevadora 1(22793),APR Las Canteras >> Caseta 1 >> Estado Bomba Elevadora 2(22739),APR Las Canteras >> Caseta 1 >> Estado Bomba Elevadora 1(22728)
2020-12-01 14:18:06-03:00,,,0.0,0.0
2020-12-01 14:18:15-03:00,0.0,0.0,,
2020-12-01 14:23:07-03:00,,,0.0,0.0
2020-12-01 14:23:15-03:00,0.0,0.0,,
2020-12-01 14:28:07-03:00,,,0.0,0.0
2020-12-01 14:28:16-03:00,0.0,0.0,,
2020-12-01 14:33:07-03:00,,,0.0,0.0
2020-12-01 14:33:16-03:00,0.0,0.0,,
2020-12-01 14:38:08-03:00,,,0.0,0.0
2020-12-01 14:38:16-03:00,0.0,0.0,,
2020-12-01 14:43:08-03:00,,,0.0,0.0
2020-12-01 14:43:17-03:00,0.0,0.0,,
2020-12-01 14:48:08-03:00,,,0.0,0.0
2020-12-01 14:48:17-03:00,0.0,0.0,,
2020-12-01 14:53:09-03:00,,,0.0,0.0
2020-12-01 14:53:17-03:00,0.0,0.0,,
2020-12-01 14:58:09-03:00,,,0.0,0.0
2020-12-01 14:58:18-03:00,0.0,0.0,,
2020-12-01 15:03:09-03:00,,,0.0,0.0
2020-12-01 15:03:19-03:00,0.0,0.0,,
2020-12-01 15:08:10-03:00,,,0.0,0.0
2020-12-01 15:08:18-03:00,0.0,0.0,,
2020-12-01 15:13:10-03:00,,,0.0,0.0
2020-12-01 15:13:18-03:00,0.0,0.0,,
2020-12-01 15:18:10-03:00,,,0.0,0.0
2020-12-01 15:18:19-03:00,0.0,0.0,,
2020-12-01 15:23:10-03:00,,,0.0,0.0
2020-12-01 15:23:19-03:00,0.0,0.0,,
2020-12-01 15:28:11-03:00,,,0.0,0.0
2020-12-01 15:28:19-03:00,0.0,0.0,,
2020-12-01 15:33:11-03:00,,,0.0,0.0
2020-12-01 15:33:20-03:00,0.0,0.0,,
2020-12-01 15:38:11-03:00,,,0.0,0.0
2020-12-01 15:38:20-03:00,0.0,0.0,,
2020-12-01 15:43:12-03:00,,,0.0,0.0
2020-12-01 15:43:20-03:00,0.0,0.0,,
2020-12-01 15:48:12-03:00,,,0.0,0.0
2020-12-01 15:48:20-03:00,0.0,0.0,,
2020-12-01 15:53:12-03:00,,,0.0,0.0
2020-12-01 15:53:21-03:00,0.0,0.0,,
2020-12-01 15:58:13-03:00,,,0.0,0.0
2020-12-01 15:58:22-03:00,0.0,0.0,,
2020-12-01 16:03:13-03:00,,,0.0,0.0
2020-12-01 16:03:22-03:00,0.0,0.0,,
2020-12-01 16:08:14-03:00,,,0.0,0.0
2020-12-01 16:08:23-03:00,0.0,0.0,,
2020-12-01 16:13:14-03:00,,,0.0,0.0
2020-12-01 16:13:23-03:00,0.0,0.0,,
2020-12-01 16:18:15-03:00,,,0.0,0.0
2020-12-01 16:18:23-03:00,0.0,0.0,,
2020-12-01 16:23:15-03:00,,,0.0,0.0
2020-12-01 16:23:24-03:00,0.0,0.0,,
2020-12-01 16:28:15-03:00,,,0.0,0.0
2020-12-01 16:28:24-03:00,0.0,0.0,,
2020-12-01 16:33:16-03:00,,,0.0,0.0
2020-12-01 16:33:24-03:00,0.0,0.0,,
2020-12-01 16:38:16-03:00,,,0.0,0.0
2020-12-01 16:38:24-03:00,0.0,0.0,,
2020-12-01 16:43:16-03:00,,,0.0,0.0
2020-12-01 16:43:25-03:00,0.0,0.0,,
2020-12-01 16:48:16-03:00,,,0.0,0.0
2020-12-01 16:48:25-03:00,0.0,0.0,,
2020-12-01 16:53:17-03:00,,,0.0,0.0
2020-12-01 16:53:25-03:00,0.0,0.0,,
2020-12-01 16:58:17-03:00,,,0.0,0.0
2020-12-01 16:58:26-03:00,0.0,0.0,,
2020-12-01 17:03:17-03:00,,,0.0,0.0
2020-12-01 17:03:26-03:00,0.0,0.0,,
2020-12-01 17:08:18-03:00,,,0.0,0.0
