date,APR Las Calderas RP1 >> Estanque Elevado 1 >> Volumen Salida Estanque Base(14135),APR Las Calderas RP1 >> Pozo Pedrero >> Volumen Pozo Pedrero(14069)
2020-12-01 19:08:35-03:00,95036.0,
2020-12-01 19:10:17-03:00,,9001.0
2020-12-01 19:13:36-03:00,95039.0,
2020-12-01 19:15:18-03:00,,9001.0
2020-12-01 19:18:36-03:00,95041.0,
2020-12-01 19:20:18-03:00,,9001.0
2020-12-01 19:23:36-03:00,95044.0,
2020-12-01 19:25:18-03:00,,9001.0
2020-12-01 19:28:37-03:00,95046.0,
2020-12-01 19:30:19-03:00,,9001.0
2020-12-01 19:33:37-03:00,95048.0,
2020-12-01 19:35:19-03:00,,9001.0
2020-12-01 19:38:37-03:00,95051.0,
2020-12-01 19:40:19-03:00,,9001.0
2020-12-01 19:43:38-03:00,95053.0,
2020-12-01 19:45:20-03:00,,9001.0
2020-12-01 19:48:38-03:00,95056.0,
2020-12-01 19:50:20-03:00,,9001.0
2020-12-01 19:53:38-03:00,95058.0,
2020-12-01 19:55:20-03:00,,9001.0
2020-12-01 19:58:39-03:00,95061.0,
2020-12-01 20:00:21-03:00,,9001.0
2020-12-01 20:03:39-03:00,95064.0,
2020-12-01 20:05:21-03:00,,9001.0
2020-12-01 20:08:39-03:00,95066.0,
2020-12-01 20:10:21-03:00,,9001.0
2020-12-01 20:13:39-03:00,95069.0,
2020-12-01 20:15:22-03:00,,9001.0
2020-12-01 20:18:40-03:00,95072.0,
2020-12-01 20:20:22-03:00,,9001.0
2020-12-01 20:23:40-03:00,95074.0,
2020-12-01 20:25:22-03:00,,9001.0
2020-12-01 20:28:40-03:00,95077.0,
2020-12-01 20:30:22-03:00,,9001.0
2020-12-01 20:33:41-03:00,95080.0,
2020-12-01 20:35:22-03:00,,9001.0
2020-12-01 20:38:41-03:00,95083.0,
2020-12-01 20:40:22-03:00,,9001.0
2020-12-01 20:43:41-03:00,95086.0,
2020-12-01 20:45:22-03:00,,9001.0
2020-12-01 20:48:42-03:00,95089.0,
2020-12-01 20:50:23-03:00,,9002.0
2020-12-01 20:53:42-03:00,95092.0,
2020-12-01 20:55:23-03:00,,9003.0
2020-12-01 20:58:42-03:00,95094.0,
2020-12-01 21:00:23-03:00,,9003.0
2020-12-01 21:03:43-03:00,95098.0,
2020-12-01 21:05:24-03:00,,9004.0
2020-12-01 21:08:43-03:00,95101.0,
2020-12-01 21:10:24-03:00,,9005.0
2020-12-01 21:13:43-03:00,95103.0,
2020-12-01 21:15:24-03:00,,9005.0
2020-12-01 21:18:44-03:00,95106.0,
2020-12-01 21:20:25-03:00,,9006.0
2020-12-01 21:23:44-03:00,95108.0,
